year,state,office,district,stage,forecast_final,actual_result,forecast_error
2020,ME,State House,148,general,0.66,0.57,0.09
2020,CA,US House,49,general,0.61,0.55,0.07
2020,WV,State House,3,general,0.18,0.12,0.06
2020,TX,US House,31,general,0.45,0.44,0.01
2020,VT,Treasurer,VT,general,0.56,0.57,0.01
2020,VA,US House,7,general,0.51,0.51,0
2020,MI,State House,17,general,0.46,0.38,0.07
2020,TX,State House,71,general,0.23,0.21,0.02
2020,ME,State House,113,general,0.6,0.58,0.02
2020,GA,US House,12,general,0.42,0.41,0.01
2020,IA,State House,63,general,0.42,0.37,0.06
2020,NY,US House,4,general,0.57,0.52,0.05
2020,TX,US House,35,general,0.74,0.65,0.08
2020,ME,State Senate,10,general,0.34,0.3,0.04
2020,TN,State House,49,general,0.46,0.46,0
2020,NC,State House,8,general,0.63,0.6,0.03
2020,KS,US House,1,general,0.34,0.3,0.04
2020,GA,State House,21,general,0.32,0.27,0.05
2020,TX,State House,41,general,0.66,0.58,0.08
2020,KY,State House,4,general,0.32,0.23,0.09
2020,CO,State House,41,general,0.65,0.66,0.02
2020,NC,State House,74,general,0.5,0.49,0.01
2020,RI,State Senate,26,general,0.61,0.61,0
2020,MI,US House,12,general,0.71,0.66,0.05
2020,SD,State House,25,general,0.14,0.19,0.04
2020,TX,State House,109,general,0.84,0.83,0.01
2020,TX,US House,18,general,0.67,0.73,0.07
2020,KS,State House,103,general,0.59,0.6,0.01
2020,GA,State Senate,37,general,0.4,0.42,0.02
2020,GA,State House,41,general,0.72,0.72,0
2020,OH,State House,35,general,0.65,0.56,0.09
2020,RI,State Senate,31,general,0.62,0.54,0.07
2020,ME,State House,88,general,0.49,0.46,0.03
2020,MN,State House,24B,general,0.4,0.34,0.06
2020,MO,State House,54,general,0.32,0.25,0.06
2020,IN,State House,72,general,0.45,0.41,0.05
2020,TX,US House,27,general,0.39,0.35,0.04
2020,KY,State House,81,general,0.46,0.43,0.03
2020,OR,State House,40,general,0.59,0.59,0.01
2020,NM,State House,39,general,0.55,0.47,0.08
2020,SD,State House,34,general,0.14,0.18,0.03
2020,PA,State House,148,general,0.67,0.7,0.03
2020,AZ,State House,10,general,0.26,0.29,0.03
2020,MT,State House,58,general,0.4,0.34,0.05
2020,NM,State House,8,general,0.4,0.36,0.04
2020,NC,State Senate,5,general,0.59,0.55,0.04
2020,CO,State House,18,general,0.55,0.61,0.06
2020,OH,State House,79,general,0.4,0.37,0.03
2020,MN,State House,2A,general,0.4,0.37,0.03
2020,CO,State House,34,general,0.57,0.57,0
2020,SC,State House,15,general,0.55,0.52,0.03
2020,WV,State House,66,general,0.42,0.39,0.03
2020,FL,State House,47,general,0.57,0.59,0.02
2020,WY,State House,45,general,0.55,0.52,0.02
2020,MN,State House,27A,general,0.43,0.37,0.06
2020,NC,State House,23,general,0.64,0.59,0.06
2020,GA,State House,47,general,0.38,0.39,0.02
2020,GA,State House,37,general,0.53,0.54,0.01
2020,ME,State House,8,general,0.61,0.64,0.03
2020,TX,State House,51,general,0.84,0.83,0.01
2020,AL,US House,1,general,0.37,0.32,0.05
2020,MI,State House,72,general,0.45,0.45,0
2020,RI,State House,46,general,0.39,0.39,0
2020,KS,State House,5,general,0.27,0.23,0.05
2020,NC,State House,97,general,0.32,0.26,0.06
2020,PA,State House,133,general,0.66,0.61,0.05
2020,HI,US House,1,general,0.78,0.72,0.05
2020,WA,US House,1,general,0.68,0.61,0.08
2020,IA,State House,33,general,0.69,0.64,0.05
2020,SD,State Senate,32,general,0.39,0.36,0.03
2020,KY,State House,79,general,0.66,0.63,0.03
2020,MN,State House,37A,general,0.58,0.55,0.03
2020,FL,State House,58,general,0.45,0.44,0.01
2020,GA,State House,80,general,0.55,0.59,0.04
2020,ME,State House,83,general,0.57,0.59,0.01
2020,CO,State House,59,general,0.56,0.55,0.01
2020,CA,State House,46,general,0.73,0.65,0.08
2020,SC,State House,74,general,0.84,0.83,0.01
2020,GA,State House,50,general,0.5,0.53,0.03
2020,CT,State House,14,general,0.54,0.46,0.08
2020,NC,State House,33,general,0.7,0.71,0.01
2020,IL,US House,14,general,0.55,0.51,0.04
2020,SD,State House,15,general,0.31,0.29,0.02
2020,MO,State House,163,general,0.21,0.2,0.01
2020,SD,State House,3,general,0.17,0.19,0.01
2020,ME,State House,135,general,0.55,0.53,0.02
2020,NC,State Senate,16,general,0.65,0.66,0
2020,IA,State House,17,general,0.29,0.24,0.05
2020,IN,State House,13,general,0.31,0.27,0.03
2020,OH,US House,4,general,0.35,0.29,0.06
2020,ME,State House,79,general,0.35,0.33,0.01
2020,RI,State Senate,22,general,0.59,0.51,0.08
2020,NV,US House,2,general,0.43,0.41,0.03
2020,TX,US House,36,general,0.27,0.24,0.03
2020,MN,State House,19B,general,0.63,0.6,0.03
2020,MN,State House,30B,general,0.37,0.34,0.03
2020,CT,State Senate,22,general,0.6,0.61,0.01
2020,CT,State Senate,23,general,0.82,0.82,0
2020,UT,State House,23,general,0.75,0.75,0.01
